1000,4850,606
1000,5800,590
1000,11400,499
1000,14900,390
1000,20500,249
1000,23900,163
1010,4850,606
1010,5800,590
1010,11400,499
1010,14900,390
1010,20500,249
1010,23900,163
1020,4850,609
1020,5800,604
1020,11400,460
1020,14900,372
1020,20500,230
1020,23900,143
1030,4850,617
1030,5800,610
1030,11400,502
1030,14900,384
1030,20500,244
1030,23900,159
1040,4850,621
1040,5800,604
1040,11400,483
1040,14900,394
1040,20500,261
1040,23900,180
1050,4850,627
1050,5800,610
1050,11400,504
1050,14900,391
1050,20500,266
1050,23900,190
1060,4850,650
1060,5800,629
1060,11400,505
1060,14900,381
1060,20500,262
1060,23900,190
1070,4850,654
1070,5800,633
1070,11400,506
1070,14900,395
1070,20500,266
1070,23900,187
1080,4850,657
1080,5800,635
1080,11400,509
1080,14900,390
1080,20500,258
1080,23900,177
1090,4850,659
1090,5800,638
1090,11400,513
1090,14900,388
1090,20500,261
1090,23900,184
1100,4850,661
1100,5800,640
1100,11400,517
1100,14900,395
1100,20500,273
1100,23900,199
1110,4850,661
1110,5800,640
1110,11400,517
1110,14900,395
1110,20500,273
1110,23900,199
